id,name,description,eligibility,benefits,link,category
pm_kisan,PM-Kisan Samman Nidhi,"Direct income support for small and marginal landholding farmers across India.","Farmers with cultivable land ownership.","₹6,000 yearly in three installments of ₹2,000 each.","https://pmkisan.gov.in/",Farmer
pmay,Pradhan Mantri Awas Yojana,"Universal housing scheme to provide affordable 'Pucca' houses for all citizens.","Lower and Middle Income groups without a permanent house.","Subsidy of up to ₹2.67 lakh on home loan interest.","https://pmay-urban.gov.in/",Housing
ayushman_bharat,Ayushman Bharat (PM-JAY),"National Health Protection Mission covering over 10 crore poor and vulnerable families.","Vulnerable families listed in the SECC 2011 database.","Cashless health cover up to ₹5 lakh per family per year.","https://nha.gov.in/",Health
standup_india,Stand Up India,"Promoting entrepreneurship among SC/ST and Women through bank loans.","SC/ST or Woman borrower (18+ years) for greenfield projects.","Composite loans between ₹10 lakh and ₹100 lakh.","https://www.standupmitra.in/",Business
pm_svanidhi,PM SVANidhi,"Special Micro-Credit Facility for Street Vendors to restart their businesses.","Street vendors in urban and peri-urban areas.","Working capital loan up to ₹10,000 with interest subsidy.","https://pmsvanidhi.mohua.gov.in/",Street Vendor
pm_fby,PM Fasal Bima Yojana,"Crop insurance scheme for farmers against natural calamities.","All farmers including sharecroppers and tenant farmers.","Low premium rates and full sum insured.","https://pmfby.gov.in/",Farmer
sukanya_samriddhi,Sukanya Samriddhi Yojana,"Small deposit scheme for the girl child.","Parents/guardians of a girl child below 10 years.","High interest rate and tax benefits.","https://nsiindia.gov.in/",Student
national_pension_scheme,National Pension Scheme,"Voluntary retirement savings scheme.","All Indian citizens between 18-65 years.","Tax-free withdrawals and pension income.","https://enps.nsdl.com/",General
pmsby,PM Suraksha Bima Yojana,"Accidental insurance scheme at a very low premium.","People between 18-70 years with a bank account.","₹2 lakh for accidental death or full disability.","https://jansuraksha.gov.in/",General
pmjjby,PM Jeevan Jyoti Bima Yojana,"Life insurance scheme offering coverage for death.","People between 18-50 years with a bank account.","₹2 lakh life cover for a premium of ₹436/year.","https://jansuraksha.gov.in/",General
